City_ID,City,Latitude,Longitude,Max_Temperature,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
0,dwarka,22.2394,68.9678,84.42,85.0,1004.0,1.0,16.26,IN,1717254534.0
1,blackmans bay,-43.0167,147.3167,44.73,86.0,1026.0,5.0,5.01,AU,1717254534.0
2,bethel,41.3712,-73.414,76.98,47.0,1020.0,0.0,5.75,US,1717254316.0
3,opole,50.5,18.0,71.08,54.0,1009.0,32.0,10.56,PL,1717254535.0
4,longyearbyen,78.2186,15.6401,37.24,87.0,1015.0,100.0,2.3,SJ,1717254535.0
5,adamstown,-25.066,-130.1015,69.28,68.0,1014.0,100.0,8.7,PN,1717254535.0
6,isafjordur,66.0755,-23.124,51.84,37.0,1007.0,0.0,12.66,IS,1717254535.0
7,taiohae,,,,,,,,,
8,wailua homesteads,22.0669,-159.378,72.39,87.0,1019.0,75.0,16.11,US,1717254536.0
9,sitka,57.0531,-135.33,48.09,81.0,1007.0,100.0,3.44,US,1717254536.0
10,chachapoyas,-6.2317,-77.869,65.89,54.0,1019.0,25.0,2.53,PE,1717254536.0
11,suizhou,31.7111,113.3631,72.48,72.0,1013.0,100.0,2.59,CN,1717254537.0
12,marsaskala,,,,,,,,,
13,anadyr,64.75,177.4833,37.9,64.0,1014.0,0.0,2.24,RU,1717254537.0
14,tindouf,27.6711,-8.1474,94.86,18.0,1006.0,0.0,10.63,DZ,1717254538.0
15,iquique,-20.2208,-70.1431,67.78,67.0,1014.0,36.0,6.64,CL,1717254521.0
16,saldanha,-33.0117,17.9442,62.65,72.0,1019.0,0.0,11.21,ZA,1717254286.0
17,al hazm,16.1641,44.7769,97.47,9.0,1006.0,86.0,14.45,YE,1717254538.0
18,hommersak,58.9317,5.8511,63.37,68.0,1021.0,75.0,24.16,NO,1717254539.0
19,port-aux-francais,-49.35,70.2167,37.45,72.0,986.0,32.0,43.71,TF,1717254539.0
20,grytviken,-54.2811,-36.5092,24.94,79.0,997.0,26.0,10.83,GS,1717254539.0
21,puerto natales,-51.7236,-72.4875,34.25,93.0,1014.0,75.0,5.75,CL,1717254339.0
22,talnakh,69.4865,88.3972,28.2,99.0,1006.0,100.0,3.18,RU,1717254540.0
23,waitangi,-43.9535,-176.5597,52.83,84.0,1010.0,100.0,11.01,NZ,1717254209.0
24,tiksi,71.6872,128.8694,32.45,82.0,1025.0,99.0,4.97,RU,1717254540.0
25,badger,64.8,-147.5333,57.7,61.0,998.0,0.0,4.61,US,1717254540.0
26,ocean pointe,,,,,,,,,
27,avarua,-21.2078,-159.775,69.85,73.0,1016.0,40.0,2.3,CK,1717254541.0
28,hawaiian paradise park,19.5933,-154.9731,70.03,96.0,1018.0,40.0,1.01,US,1717254541.0
29,bardai,11.65,7.2333,96.03,30.0,1009.0,8.0,1.66,NG,1717254542.0
30,mrakovo,52.7161,56.6244,68.74,77.0,1019.0,3.0,3.24,RU,1717254542.0
31,papatowai,-46.5619,169.4708,47.86,68.0,1021.0,37.0,18.23,NZ,1717254543.0
32,tual,-5.6667,132.75,82.29,80.0,1011.0,97.0,22.82,ID,1717254543.0
33,terrace,54.5163,-128.6035,51.22,100.0,1011.0,100.0,2.3,CA,1717254544.0
34,dryden,49.7833,-92.7503,59.29,55.0,1009.0,100.0,6.91,CA,1717254332.0
35,mukalla,14.5425,49.1242,87.06,74.0,1006.0,26.0,4.23,YE,1717254544.0
36,college,64.8569,-147.8028,57.79,61.0,998.0,75.0,4.61,US,1717254402.0
37,jamestown,42.097,-79.2353,71.02,38.0,1023.0,0.0,4.61,US,1717254545.0
38,caleta de carquin,-11.0925,-77.6267,66.6,74.0,1013.0,41.0,8.21,PE,1717254545.0
39,korla,41.7597,86.1469,66.88,47.0,1016.0,0.0,9.1,CN,1717254545.0
40,greymouth,-42.4667,171.2,51.28,95.0,1024.0,99.0,1.01,NZ,1717254546.0
41,bilibino,68.0546,166.4372,32.02,80.0,1022.0,90.0,5.37,RU,1717254209.0
42,washington,47.5001,-120.5015,57.92,58.0,1011.0,100.0,3.47,US,1717254008.0
43,puerto san carlos,,,,,,,,,
44,fortuna,40.5982,-124.1573,53.92,87.0,1017.0,98.0,3.44,US,1717254547.0
